nut_2;comunidad_autonoma;nut_3;provincia
11;Galicia;111;A Coruña
;;112;Lugo
;;113;Ourense
;;114;Pontevedra
12;Principado de Asturias;120;Asturias
13;Cantabria;130;Cantabria
21;Pais Vasco;211;Araba/Álava
;;212;Gipuzkoa
;;213;Bizkaia
22;Comunidad Foral de Navarra;220;Navarra
23;La Rioja;230;La Rioja
24;Aragon;241;Huesca
;;242;Teruel
;;243;Zaragoza
30;Comunidad de Madrid;300;Madrid
41;Castilla y Leon;411;Avila
;;412;Burgos
;;413;Leon
;;414;Palencia
;;415;Salamanca
;;416;Segovia
;;417;Soria
;;418;Valladolid
;;419;Zamora
42;Castilla-La Mancha;421;Albacete
;;422;Ciudad Real
;;423;Cuenca
;;424;Guadalajara
;;425;Toledo
43;Extremadura;431;Badajoz
;;432;Caceres
51;Cataluña;511;Barcelona
;;512;Girona
;;513;Lleida
;;514;Tarragona
52;Comunitat Valenciana;521;Alicante
;;522;Castellon
;;523;Valencia
53;Illes Balears;531;Ibiza y Formentera
;;532;Mallorca
;;533;Menorca
61;Andalucia;611;Almeria
;;612;Cadiz
;;613;Cordoba
;;614;Granada
;;615;Huelva
;;616;Jaen
;;617;Malaga
;;618;Sevilla
62;Region de Murcia;620;Murcia
63;Ciudad de Ceuta;630;Ceuta
64;Ciudad de Melilla;640;Melilla
70;Canarias;704;Fuerteventura
;;705;Gran Canaria
;;708;Lanzarote
;;703;El Hierro
;;706;La Gomera
;;707;La Palma
;;709;Tenerife
